ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj
002594.SZ,20260519,286.911,291.6772,284.7556,291.4343,286.911,4.5235,1.5766,296184.39,2822346.576,hfq
002594.SZ,20260520,289.3092,289.886,283.2377,283.4198,291.4342,-8.0145,-2.75,415009.93,3900216.299,hfq
002594.SZ,20260521,283.5717,292.0415,283.5717,283.8753,283.4199,0.4555,0.1607,373949.74,3540792.199,hfq
002594.SZ,20260522,283.9968,285.9397,281.1432,284.604,283.8754,0.7287,0.2567,268591.77,2510615.944,hfq
002594.SZ,20260525,288.3987,295.1077,288.3987,291.313,284.6039,6.709,2.3573,405995.16,3900848.662,hfq
002594.SZ,20260526,290.8271,294.2271,286.9109,293.1039,291.3128,1.7909,0.6148,386524.35,3720039.551,hfq
002594.SZ,20260527,291.4343,295.2897,287.3664,289.0664,293.104,-4.0375,-1.3775,362373.56,3467882.77,hfq
002594.SZ,20260528,289.0664,291.4039,285.4538,291.07,289.0664,2.0036,0.6931,314589.76,2991315.17,hfq
002594.SZ,20260529,300.238,302.0595,291.8289,291.9807,291.07,0.9107,0.3129,606293.93,5901286.621,hfq
002594.SZ,20260601,291.9807,292.1021,284.1484,284.3002,291.9807,-7.6805,-2.6305,445980.76,4207350.43,hfq
002594.SZ,20260602,291.4343,294.1058,286.3039,293.7415,284.3002,9.4413,3.3209,554964.17,5321331.038,hfq
002594.SZ,20260603,291.4342,291.4342,286.8806,287.852,293.7414,-5.8895,-2.005,370433.74,3514157.745,hfq
002594.SZ,20260604,284.1483,286.5466,282.6304,283.6626,287.852,-4.1894,-1.4554,318711.74,2982999.607,hfq
002594.SZ,20260605,283.9054,285.3626,280.2018,282.3572,283.6626,-1.3054,-0.4602,339968.97,3159266.076,hfq
