ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj
688981.SH,20250915,110.55,112.55,107.5,108.66,108.42,0.2401,0.2214,946836.18,10395575.384,hfq
688981.SH,20250916,108.9999,111.8599,108.0899,109.7799,108.6599,1.1199,1.0307,866259.24,9501062.259,hfq
688981.SH,20250917,110.7999,120.7999,109.7999,117.3899,109.7799,7.61,6.932,1528475.61,17861084.416,hfq
688981.SH,20250918,119.9799,127.4899,116.3499,122.1499,117.3899,4.76,4.0549,1931567.78,23495279.107,hfq
688981.SH,20250919,122.9999,127.3999,120.1099,121.3399,122.1499,-0.81,-0.6631,1449106.23,17943778.048,hfq
688981.SH,20250922,120.5399,129.8299,119.0499,128.9199,121.3399,7.58,6.2469,1588281.47,19858613.711,hfq
688981.SH,20250923,127.6399,129.3299,122.6299,128.5099,128.9199,-0.41,-0.318,1441273.53,18120121.818,hfq
688981.SH,20250924,126.8799,137.9799,126.2299,134.9799,128.5099,6.47,5.0346,1460947.53,19497523.266,hfq
688981.SH,20250925,133.0,137.8,132.31,134.11,134.98,-0.8699,-0.6445,1032583.21,13953307.668,hfq
688981.SH,20250926,132.71,135.95,131.2,132.27,134.11,-1.84,-1.372,912445.19,12181639.386,hfq
688981.SH,20250929,131.0,136.02,129.16,136.02,132.27,3.75,2.8351,1027207.23,13627566.349,hfq
688981.SH,20250930,138.4999,141.9999,136.5999,140.1299,136.0199,4.1099,3.0216,986229.0,13794113.059,hfq
688981.SH,20251009,144.0,153.0,137.0,138.91,140.13,-1.2199,-0.8706,1662841.1,24249284.345,hfq
688981.SH,20251010,134.87,134.94,127.17,127.95,138.91,-10.96,-7.89,1617420.76,21074152.02,hfq
688981.SH,20251013,126.0,136.48,126.0,136.47,127.95,8.52,6.6589,1402994.86,18642587.057,hfq
688981.SH,20251014,136.96,137.8,125.8,127.2,136.47,-9.27,-6.7927,1321004.03,17321652.001,hfq
688981.SH,20251015,127.18,129.73,124.6,129.56,127.2,2.36,1.8553,807987.26,10284318.328,hfq
688981.SH,20251016,127.7999,130.2799,126.5999,127.2999,129.5599,-2.2601,-1.7444,612310.62,7841134.057,hfq
688981.SH,20251017,126.8499,127.3199,120.8699,121.9799,127.2999,-5.32,-4.1791,820528.98,10097285.54,hfq
688981.SH,20251020,124.1,125.18,121.69,122.63,121.98,0.6501,0.5329,571239.35,7060333.63,hfq
688981.SH,20251021,123.8,127.85,122.61,127.19,122.63,4.56,3.7185,784150.88,9888217.346,hfq
688981.SH,20251022,125.4199,129.2699,123.8099,126.8099,127.1899,-0.3801,-0.2988,653954.11,8265031.817,hfq
688981.SH,20251023,125.1799,128.4999,124.0099,128.2999,126.8099,1.49,1.175,634264.02,8038110.025,hfq
688981.SH,20251024,130.3,134.8,128.9,134.06,128.3,5.7601,4.4895,1024466.21,13548726.657,hfq
688981.SH,20251027,137.4999,137.4999,132.2999,134.4999,134.0599,0.4399,0.3282,1012643.04,13623206.912,hfq
688981.SH,20251028,133.0,135.8,132.0,132.69,134.5,-1.8099,-1.3457,695189.45,9299045.972,hfq
688981.SH,20251029,131.9999,134.5299,130.3099,132.9999,132.6899,0.3099,0.2336,688460.74,9111437.51,hfq
688981.SH,20251030,132.9999,132.9999,128.5099,128.5499,132.9999,-4.45,-3.3459,692863.97,9018982.748,hfq
688981.SH,20251031,128.0298,128.6998,124.1798,124.1798,128.5498,-4.3701,-3.3995,691668.89,8692098.673,hfq
688981.SH,20251103,121.9998,122.5998,117.5498,120.2098,124.1798,-3.97,-3.197,747709.27,8940382.093,hfq
688981.SH,20251104,120.9998,122.6598,118.9998,119.8798,120.2098,-0.33,-0.2745,477384.17,5770504.489,hfq
688981.SH,20251105,116.8999,121.0999,116.4999,119.7799,119.8799,-0.0999,-0.0834,485016.0,5753269.424,hfq
688981.SH,20251106,121.8999,125.9899,121.0499,124.8499,119.7799,5.07,4.2328,731507.65,9060521.121,hfq
688981.SH,20251107,122.9299,124.1799,122.0499,122.1099,124.8499,-2.74,-2.1946,382292.14,4694221.497,hfq
688981.SH,20251110,122.1299,122.9499,118.7599,120.0099,122.1099,-2.1,-1.7198,395832.71,4749065.264,hfq
688981.SH,20251111,120.6,121.47,117.53,117.73,120.01,-2.2799,-1.8998,342530.08,4073862.296,hfq
688981.SH,20251112,117.0,119.8,115.74,119.63,117.73,1.9,1.6139,457015.52,5405408.039,hfq
688981.SH,20251113,118.99,123.33,117.8,123.1,119.63,3.47,2.9006,549888.53,6638319.087,hfq
688981.SH,20251114,122.9999,125.4999,117.8899,118.1799,123.0999,-4.9201,-3.9968,775293.52,9432871.553,hfq
688981.SH,20251117,116.8199,119.2899,116.5099,117.6299,118.1799,-0.55,-0.4654,421773.41,4961789.944,hfq
688981.SH,20251118,117.4999,120.1799,117.1299,117.9599,117.6299,0.33,0.2805,473915.08,5629538.134,hfq
688981.SH,20251119,117.9899,118.4899,115.5099,116.2799,117.9599,-1.68,-1.4242,415119.56,4848790.041,hfq
688981.SH,20251120,117.9899,118.2899,116.4599,116.7799,116.2799,0.5,0.43,344702.85,4045624.435,hfq
688981.SH,20251121,113.8598,116.0798,112.9998,112.9998,116.7798,-3.7801,-3.2369,461358.62,5264860.634,hfq
688981.SH,20251124,112.9898,113.4998,108.1798,111.5098,112.9998,-1.49,-1.3186,557908.63,6159093.355,hfq
688981.SH,20251125,112.4999,113.9599,111.3699,111.6799,111.5099,0.1701,0.1525,407223.82,4584278.768,hfq
688981.SH,20251126,110.6999,113.8999,110.6099,112.7099,111.6799,1.03,0.9223,419553.57,4731195.304,hfq
688981.SH,20251127,113.7999,116.7999,112.5599,112.7099,112.7099,0.0,0.0,523431.12,6012840.143,hfq
688981.SH,20251128,112.7099,114.1099,111.3999,113.5999,112.7099,0.89,0.7896,308663.84,3486790.036,hfq
688981.SH,20251201,113.3998,114.6798,112.5998,114.3998,113.5998,0.7999,0.7042,327640.04,3724984.486,hfq
688981.SH,20251202,114.0998,114.1898,112.6998,112.9998,114.3998,-1.4,-1.2238,237771.82,2694922.636,hfq
688981.SH,20251203,112.7998,113.6898,111.1298,111.6198,112.9998,-1.38,-1.2212,245413.59,2756774.41,hfq
688981.SH,20251204,111.6498,114.7298,110.9798,114.7298,111.6198,3.11,2.7862,387551.96,4392462.735,hfq
688981.SH,20251205,113.9998,114.8798,112.4998,114.1798,114.7298,-0.55,-0.4794,352653.66,4015690.336,hfq
688981.SH,20251208,114.2097,117.9997,114.1797,117.1997,114.1797,3.0199,2.6449,508359.77,5945081.548,hfq
688981.SH,20251209,115.5797,117.8997,115.5097,116.3197,117.1997,-0.88,-0.7509,371384.45,4333826.426,hfq
688981.SH,20251210,115.5797,116.5897,113.4397,116.3097,116.3197,-0.01,-0.0086,315714.73,3624511.935,hfq
688981.SH,20251211,116.5297,117.1397,113.4997,113.6097,116.3097,-2.7,-2.3214,303108.96,3488207.042,hfq
688981.SH,20251212,113.6097,117.4197,111.5997,116.7997,113.6097,3.19,2.8079,584998.04,6734945.965,hfq
688981.SH,20251215,115.1497,116.4997,112.9997,113.0097,116.7997,-3.79,-3.2449,342417.46,3933791.146,hfq
688981.SH,20251216,112.4996,113.3496,110.2696,110.6996,113.0096,-2.3101,-2.0441,323379.53,3605859.884,hfq
688981.SH,20251217,110.8197,113.8997,110.1297,113.2897,110.6997,2.5901,2.3397,343892.72,3848931.232,hfq
688981.SH,20251218,112.7997,115.7197,112.7497,112.7997,113.2897,-0.49,-0.4325,314700.29,3583327.202,hfq
688981.SH,20251219,113.1997,115.4797,112.9997,113.6297,112.7997,0.83,0.7358,272612.5,3107493.842,hfq
688981.SH,20251222,114.5996,121.4396,114.5996,120.4496,113.6296,6.8199,6.0019,810113.69,9622360.396,hfq
688981.SH,20251223,120.4996,121.5796,119.0196,119.8996,120.4496,-0.55,-0.4566,483601.42,5823920.043,hfq
688981.SH,20251224,122.4996,124.3796,121.1096,123.4096,119.8996,3.51,2.9274,629560.98,7744549.16,hfq
688981.SH,20251225,122.9996,125.9896,122.6596,123.0796,123.4096,-0.33,-0.2674,471809.58,5854142.202,hfq
688981.SH,20251226,122.5796,124.7896,121.1596,122.0996,123.0796,-0.98,-0.7962,402397.99,4938389.58,hfq
688981.SH,20251229,122.9996,125.6496,122.0196,122.4996,122.0996,0.4,0.3276,506831.61,6280270.177,hfq
688981.SH,20251230,124.4496,126.6896,123.9996,125.2796,122.4996,2.78,2.2694,604958.31,7582347.029,hfq
688981.SH,20251231,125.9897,126.1997,122.3997,122.8297,125.2797,-2.4499,-1.9556,411586.85,5082728.445,hfq
688981.SH,20260105,126.8396,130.1696,126.1996,129.9496,122.8296,7.1199,5.7966,911394.04,11742866.839,hfq
688981.SH,20260106,128.9996,134.1996,128.7696,131.8396,129.9496,1.89,1.4544,730696.95,9623978.218,hfq
688981.SH,20260107,131.8396,132.8196,128.8496,129.9796,131.8396,-1.86,-1.4108,598040.86,7783876.099,hfq
688981.SH,20260108,128.9496,134.6796,128.9096,130.1496,129.9796,0.17,0.1308,616918.81,8145423.327,hfq
688981.SH,20260109,129.1496,130.0096,127.7696,128.8796,130.1496,-1.27,-0.9758,511274.88,6581947.276,hfq
688981.SH,20260112,128.5196,129.6196,126.6796,127.6596,128.8796,-1.22,-0.9466,563935.64,7202156.993,hfq
688981.SH,20260113,127.4897,128.1497,122.8597,123.6297,127.6597,-4.0299,-3.1568,652072.8,8154109.676,hfq
688981.SH,20260114,123.5097,127.5997,123.4997,124.4897,123.6297,0.86,0.6956,649683.91,8155390.623,hfq
688981.SH,20260115,123.4896,125.4996,122.3296,124.4396,124.4896,-0.0501,-0.0402,556604.23,6895087.6,hfq
688981.SH,20260116,127.4996,128.8196,124.8796,126.9896,124.4396,2.55,2.0492,756512.57,9597582.828,hfq
688981.SH,20260119,127.0496,128.4996,125.1196,125.2896,126.9896,-1.7,-1.3387,477537.02,6024303.737,hfq
688981.SH,20260120,124.9997,125.4997,121.8097,122.1797,125.2897,-3.1099,-2.4822,508693.59,6261665.024,hfq
688981.SH,20260121,120.9297,128.8897,120.5797,127.1897,122.1797,5.01,4.1005,970525.21,12294760.582,hfq
688981.SH,20260122,128.9797,130.8197,125.5697,126.7997,127.1897,-0.39,-0.3066,648094.63,8268996.067,hfq
688981.SH,20260123,126.7997,127.3697,124.0297,124.9597,126.7997,-1.84,-1.4511,490631.04,6130483.631,hfq
688981.SH,20260126,124.0097,125.8797,121.8997,121.9197,124.9597,-3.04,-2.4328,502566.5,6184618.809,hfq
688981.SH,20260127,121.9996,125.7396,119.2196,124.0496,121.9196,2.1299,1.747,655261.57,8023170.134,hfq
688981.SH,20260128,124.9896,128.9896,124.9896,128.5496,124.0496,4.5,3.6276,994583.26,12644229.527,hfq
688981.SH,20260129,127.5997,127.8097,122.1597,122.3997,128.5497,-6.1499,-4.7841,715649.35,8897091.559,hfq
688981.SH,20260130,121.3297,124.9397,120.0697,122.9697,122.3997,0.57,0.4657,527719.06,6468951.529,hfq
688981.SH,20260202,121.3997,122.5897,116.7997,117.0597,122.9697,-5.91,-4.8061,596690.81,7104970.929,hfq
688981.SH,20260203,118.6897,118.8397,113.4597,116.0297,117.0597,-1.03,-0.8799,561769.52,6500024.016,hfq
688981.SH,20260204,114.4997,114.9897,113.1497,114.8397,116.0297,-1.19,-1.0256,351393.47,4005035.637,hfq
688981.SH,20260205,112.9896,114.4996,110.3896,111.7996,114.8396,-3.0401,-2.6472,446447.65,4982588.635,hfq
688981.SH,20260206,110.1396,114.5996,110.1396,112.6996,111.7996,0.9,0.805,408226.91,4597784.625,hfq
688981.SH,20260209,114.7996,115.0696,113.6996,114.9296,112.6996,2.23,1.9787,321018.1,3676020.764,hfq
688981.SH,20260210,115.1996,116.8996,114.8496,116.1996,114.9296,1.27,1.105,340436.51,3949080.646,hfq
688981.SH,20260211,113.9996,116.1396,113.4996,115.0096,116.1996,-1.19,-1.0241,345336.73,3955491.126,hfq
688981.SH,20260212,115.5496,117.1796,115.1096,116.5796,115.0096,1.57,1.3651,333622.54,3880738.366,hfq
688981.SH,20260213,116.2295,117.9795,115.5595,116.9295,116.5795,0.3499,0.3002,343687.4,4020570.46,hfq
688981.SH,20260224,118.0295,118.1795,115.6195,115.8195,116.9295,-1.11,-0.9493,276155.68,3217730.655,hfq
688981.SH,20260225,116.9996,117.4996,115.8496,116.1296,115.8196,0.3101,0.2677,275528.56,3214693.555,hfq
688981.SH,20260226,116.1296,117.2296,114.2896,116.6496,116.1296,0.52,0.4478,327021.83,3787597.479,hfq
688981.SH,20260227,115.0296,115.8696,114.3196,114.9996,116.6496,-1.65,-1.4145,279308.78,3213704.146,hfq
688981.SH,20260302,112.8796,114.1996,112.2996,112.5296,114.9996,-2.47,-2.1478,349784.75,3952733.063,hfq
688981.SH,20260303,113.2297,114.7497,107.6897,108.3097,112.5297,-4.2199,-3.7501,540987.0,5976584.863,hfq
688981.SH,20260304,107.3197,109.6997,106.1197,106.6897,108.3097,-1.62,-1.4957,322749.58,3470640.119,hfq
688981.SH,20260305,108.5996,109.2596,106.0896,106.8996,106.6896,0.2099,0.1968,353531.81,3803229.096,hfq
688981.SH,20260306,106.9996,108.3396,106.1696,106.4996,106.8996,-0.4,-0.3742,340486.16,3648254.394,hfq
688981.SH,20260309,103.9696,105.7896,101.6296,105.1396,106.4996,-1.36,-1.277,393559.67,4065897.45,hfq
688981.SH,20260310,106.8996,107.7496,105.6996,107.2796,105.1396,2.14,2.0354,318321.9,3400130.457,hfq
